,formula,full_name,band_gap,formation_energy,nn_ave_eleneg,o2p_center_from_vbm,vacancy_formation_energy,charge
0,Al2O3,Al2O3_Va_O1,6.039299999999999,-3.426551008000001,2.224895215865955,2.497321494687122,7.69421869999986,0
1,As2O3,As2O3_Va_O1,3.3312,-1.6290845505,2.745736482564582,3.6517666474416854,3.803732819999718,0
2,As2O3,As2O3_Va_O2,3.3312,-1.6290845505,2.6515650881606163,3.61912449772006,3.756670709999875,0
3,As2O3,As2O3_Va_O3,3.3312,-1.6290845505,2.6571443525075127,3.7018856453418607,3.7697533399999745,0
4,B2O3,B2O3_Va_O1,6.3479,-2.79805631,2.522642750980837,3.1894952912738876,6.752125390000012,0
5,B2O3,B2O3_Va_O2,6.3479,-2.79805631,2.4919401604235785,3.2111856187427152,6.3722730700000145,0
6,B6O,B6O_Va_O1,1.8178,-0.8052726049999999,2.161549990366169,6.843287776955761,6.615020370000034,0
7,BeO,BeO_Va_O1,7.4735,-3.1028558024999997,1.7045243414171556,2.56383046489316,8.244733159999564,0
8,Bi2O3,Bi2O3_Va_O1,2.1518000000000006,-1.6417272149999995,2.5534711302971105,2.572681787528063,3.919661759999949,0
9,Bi2O3,Bi2O3_Va_O2,2.1518000000000006,-1.6417272149999995,2.5818292627200585,2.4718292317832677,4.028562429999861,0
10,Bi2O3,Bi2O3_Va_O3,2.1518000000000006,-1.6417272149999995,2.523204218589346,2.561136419992206,4.10182348999991,0
11,BiO2,BiO2_Va_O1,1.1593,-1.4597641266666663,2.77015640216478,2.3459825260247156,1.5690956500000173,0
12,BiO2,BiO2_Va_O2,1.1593,-1.4597641266666663,2.6948710429928178,2.1687608985580606,2.0486686300000745,0
13,CaO,CaO_Va_O1,3.5479,-3.3060156124999995,1.0,1.2018086062036886,7.691605040000022,0
14,Ga2O3,Ga2O3_Va_O1,2.2114,-2.268996668999999,2.3894413671718,2.8345721001720285,4.668474750000096,0
15,Ga2O3,Ga2O3_Va_O2,2.2114,-2.268996668999999,2.3313459685068687,2.8870391212766604,5.298623480000069,0
16,Ga2O3,Ga2O3_Va_O3,2.2114,-2.268996668999999,2.4005128617292173,2.4635876701348796,5.068348539999997,0
17,GeO2,GeO2_Va_O1,3.0522,-2.077037438333334,2.725,2.262441673488334,3.65275514999997,0
18,K2O,K2O_Va_O1,1.7232,-1.2478575836666663,0.82,0.3385650409912411,4.534054169999999,0
19,Li2O,Li2O_Va_O1,4.8772,-2.061597913888889,0.98,1.168204519962669,7.427469659999995,0
20,MgO,MgO_Va_O1,4.6587,-3.0533666124999996,1.31,1.800415362880493,7.610649820000001,0
21,Pb3O4,Pb3O4_Va_O1,1.0928999999999998,-1.446981154285714,2.7125491166580247,2.4452465098536926,2.951714230000002,0
22,Pb3O4,Pb3O4_Va_O2,1.0928999999999998,-1.446981154285714,2.7179617029831618,2.526718446962329,3.009804059999974,0
23,Rb2O,Rb2O_Va_O1,1.4732,-1.133168373333333,0.82,0.3969127188451622,4.461725070000009,0
24,Sb2O3,Sb2O3_Va_O1,1.842700000000001,-1.751737502,2.544741242141955,3.479270991356791,4.168888170000011,0
25,Sb2O3,Sb2O3_Va_O2,1.842700000000001,-1.751737502,2.659676891928514,3.6453132200419622,4.23347437999997,0
26,SbO2,SbO2_Va_O1,1.9910000000000003,-1.8374915029166672,2.753462220133361,3.5862978926169973,4.408735470000019,0
27,SbO2,SbO2_Va_O2,1.9910000000000003,-1.8374915029166672,2.77530143852667,3.1481668558711764,4.01743338999996,0
28,SbO2,SbO2_Va_O3,1.9910000000000003,-1.8374915029166672,2.741856431286207,3.451624902571632,4.160002620000009,0
29,SbO2,SbO2_Va_O4,1.9910000000000003,-1.8374915029166672,2.75205610645959,3.0107401268739453,3.761671020000003,0
30,SiO2,SiO2_Va_O1,5.785699999999999,-3.267179193333333,2.67,2.858249381991186,5.84099236999999,0
31,Sn5O6,Sn5O6_Va_O1,1.415,-1.7621987818181832,2.4539480703817205,3.7688308015080825,4.767490980000057,0
32,Sn5O6,Sn5O6_Va_O2,1.415,-1.7621987818181832,2.6357856065939984,3.6674763726434176,4.971552149999988,0
33,Sn5O6,Sn5O6_Va_O3,1.415,-1.7621987818181832,2.39053715812208,3.6820594344213857,4.4522977500000795,0
34,SnO2,SnO2_Va_O1,0.8614000000000002,-2.107481543333334,2.6999999999999997,2.689198165456612,4.78985756999999,0
35,SrO,SrO_Va_O1,3.1607000000000003,-3.077090665833333,0.9500000000000002,0.908791266440336,7.1794223499999905,0
36,Al2O3,Al2O3_Va_O1,6.039299999999999,-3.426551008000001,2.224895215865955,2.497321494687122,4.564112179466871,1
37,As2O3,As2O3_Va_O2,3.3312,-1.6290845505,2.6515650881606163,3.61912449772006,1.31408610750172,1
38,As2O3,As2O3_Va_O3,3.3312,-1.6290845505,2.6571443525075127,3.7018856453418607,1.4107231307089465,1
39,B2O3,B2O3_Va_O1,6.3479,-2.79805631,2.522642750980837,3.1894952912738876,4.5550444187799,1
40,B2O3,B2O3_Va_O2,6.3479,-2.79805631,2.4919401604235785,3.2111856187427152,4.485200703805055,1
41,BaO,BaO_Va_O1,1.8639,-2.8236447624999994,0.8900000000000002,1.0286716207655016,4.308322994983372,1
42,BeO,BeO_Va_O1,7.4735,-3.1028558024999997,1.7045243414171556,2.56383046489316,5.194772300257529,1
43,Bi2O3,Bi2O3_Va_O1,2.1518000000000006,-1.6417272149999995,2.5534711302971105,2.572681787528063,1.5949257844881852,1
44,Bi2O3,Bi2O3_Va_O2,2.1518000000000006,-1.6417272149999995,2.5818292627200585,2.4718292317832677,1.608076709936071,1
45,Bi2O3,Bi2O3_Va_O3,2.1518000000000006,-1.6417272149999995,2.523204218589346,2.561136419992206,1.415810018089293,1
46,BiO2,BiO2_Va_O2,1.1593,-1.4597641266666663,2.6948710429928178,2.1687608985580606,0.3245576155237415,1
47,CaO,CaO_Va_O1,3.5479,-3.3060156124999995,1.0,1.2018086062036886,5.058042836377056,1
48,Ga2O3,Ga2O3_Va_O1,2.2114,-2.268996668999999,2.3894413671718,2.8345721001720285,2.8563129462292114,1
49,Ga2O3,Ga2O3_Va_O2,2.2114,-2.268996668999999,2.3313459685068687,2.8870391212766604,2.642667951489239,1
50,Ga2O3,Ga2O3_Va_O3,2.2114,-2.268996668999999,2.4005128617292173,2.4635876701348796,2.90488314721856,1
51,GeO2,GeO2_Va_O1,3.0522,-2.077037438333334,2.725,2.262441673488334,2.8861973534256427,1
52,K2O,K2O_Va_O1,1.7232,-1.2478575836666663,0.82,0.3385650409912411,4.193671011566598,1
53,Li2O,Li2O_Va_O1,4.8772,-2.061597913888889,0.98,1.168204519962669,5.394661848935825,1
54,MgO,MgO_Va_O1,4.6587,-3.0533666124999996,1.31,1.800415362880493,5.095554197893554,1
55,Pb3O4,Pb3O4_Va_O1,1.0928999999999998,-1.446981154285714,2.7125491166580247,2.4452465098536926,1.2109253280270915,1
56,Rb2O,Rb2O_Va_O1,1.4732,-1.133168373333333,0.82,0.3969127188451622,3.8917412269279303,1
57,Sb2O3,Sb2O3_Va_O1,1.842700000000001,-1.751737502,2.544741242141955,3.479270991356791,1.3615332420943422,1
58,Sb2O3,Sb2O3_Va_O2,1.842700000000001,-1.751737502,2.659676891928514,3.6453132200419622,1.342556606925415,1
59,SbO2,SbO2_Va_O1,1.9910000000000003,-1.8374915029166672,2.753462220133361,3.5862978926169973,1.5690984838048976,1
60,SbO2,SbO2_Va_O2,1.9910000000000003,-1.8374915029166672,2.77530143852667,3.1481668558711764,1.8859998663330184,1
61,SbO2,SbO2_Va_O3,1.9910000000000003,-1.8374915029166672,2.741856431286207,3.451624902571632,1.6467280350274212,1
62,SbO2,SbO2_Va_O4,1.9910000000000003,-1.8374915029166672,2.75205610645959,3.0107401268739453,1.8431643181526496,1
63,SiO2,SiO2_Va_O1,5.785699999999999,-3.267179193333333,2.67,2.858249381991186,4.9929877338973965,1
64,Sn5O6,Sn5O6_Va_O1,1.415,-1.7621987818181832,2.4539480703817205,3.7688308015080825,2.204304264030954,1
65,Sn5O6,Sn5O6_Va_O2,1.415,-1.7621987818181832,2.6357856065939984,3.6674763726434176,2.4316430334970587,1
66,Sn5O6,Sn5O6_Va_O3,1.415,-1.7621987818181832,2.39053715812208,3.6820594344213857,1.806180667825936,1
67,SnO2,SnO2_Va_O1,0.8614000000000002,-2.107481543333334,2.6999999999999997,2.689198165456612,2.6054480568309515,1
68,SrO,SrO_Va_O1,3.1607000000000003,-3.077090665833333,0.9500000000000002,0.908791266440336,4.766171724526229,1
69,Al2O3,Al2O3_Va_O1,6.039299999999999,-3.426551008000001,2.224895215865955,2.497321494687122,1.871706257271368,2
70,As2O3,As2O3_Va_O1,3.3312,-1.6290845505,2.745736482564582,3.6517666474416854,-0.9883017507957212,2
71,As2O3,As2O3_Va_O2,3.3312,-1.6290845505,2.6515650881606163,3.61912449772006,-1.9412796043358855,2
72,As2O3,As2O3_Va_O3,3.3312,-1.6290845505,2.6571443525075127,3.7018856453418607,-1.1966327609093488,2
73,BaO,BaO_Va_O1,1.8639,-2.8236447624999994,0.8900000000000002,1.0286716207655016,2.9252624358033597,2
74,BeO,BeO_Va_O1,7.4735,-3.1028558024999997,1.7045243414171556,2.56383046489316,2.148476243436656,2
75,Bi2O3,Bi2O3_Va_O1,2.1518000000000006,-1.6417272149999995,2.5534711302971105,2.572681787528063,-1.071147094963401,2
76,Bi2O3,Bi2O3_Va_O2,2.1518000000000006,-1.6417272149999995,2.5818292627200585,2.4718292317832677,-1.038908422779985,2
77,Bi2O3,Bi2O3_Va_O3,2.1518000000000006,-1.6417272149999995,2.523204218589346,2.561136419992206,-1.3372063484430965,2
78,BiO2,BiO2_Va_O1,1.1593,-1.4597641266666663,2.77015640216478,2.3459825260247156,-1.6619533119570495,2
79,BiO2,BiO2_Va_O2,1.1593,-1.4597641266666663,2.6948710429928178,2.1687608985580606,-1.5645385041017517,2
80,CaO,CaO_Va_O1,3.5479,-3.3060156124999995,1.0,1.2018086062036886,3.9617531909655592,2
81,Ga2O3,Ga2O3_Va_O1,2.2114,-2.268996668999999,2.3894413671718,2.8345721001720285,0.3538878002447934,2
82,Ga2O3,Ga2O3_Va_O2,2.2114,-2.268996668999999,2.3313459685068687,2.8870391212766604,-0.6841803673725178,2
83,Ga2O3,Ga2O3_Va_O3,2.2114,-2.268996668999999,2.4005128617292173,2.4635876701348796,0.2207117570890133,2
84,K2O,K2O_Va_O1,1.7232,-1.2478575836666663,0.82,0.3385650409912411,4.953010645148932,2
85,Li2O,Li2O_Va_O1,4.8772,-2.061597913888889,0.98,1.168204519962669,4.776629150980302,2
86,MgO,MgO_Va_O1,4.6587,-3.0533666124999996,1.31,1.800415362880493,3.647223827401248,2
87,Pb3O4,Pb3O4_Va_O1,1.0928999999999998,-1.446981154285714,2.7125491166580247,2.4452465098536926,-0.8056994570339224,2
88,Pb3O4,Pb3O4_Va_O2,1.0928999999999998,-1.446981154285714,2.7179617029831618,2.526718446962329,-0.8620438613984365,2
89,Rb2O,Rb2O_Va_O1,1.4732,-1.133168373333333,0.82,0.3969127188451622,4.855493691590057,2
90,Sb2O3,Sb2O3_Va_O1,1.842700000000001,-1.751737502,2.544741242141955,3.479270991356791,-2.4440124511067087,2
91,Sb2O5,Sb2O5_Va_O1,0.5914000000000001,-1.74803409,2.9272694822707885,2.40437376075443,-0.2854032883053272,2
92,Sb2O5,Sb2O5_Va_O2,0.5914000000000001,-1.74803409,2.930273060929127,2.354301334353211,0.0243211726687433,2
93,Sb2O5,Sb2O5_Va_O3,0.5914000000000001,-1.74803409,2.8160921979354785,3.3411517317835076,-1.3041811156040253,2
94,SbO2,SbO2_Va_O1,1.9910000000000003,-1.8374915029166672,2.753462220133361,3.5862978926169973,-1.5854775383998754,2
95,SbO2,SbO2_Va_O2,1.9910000000000003,-1.8374915029166672,2.77530143852667,3.1481668558711764,-0.5405506009135466,2
96,SbO2,SbO2_Va_O3,1.9910000000000003,-1.8374915029166672,2.741856431286207,3.451624902571632,-1.2408159087226296,2
97,SbO2,SbO2_Va_O4,1.9910000000000003,-1.8374915029166672,2.75205610645959,3.0107401268739453,-0.3207614811177692,2
98,SiO2,SiO2_Va_O1,5.785699999999999,-3.267179193333333,2.67,2.858249381991186,3.704156758469766,2
99,Sn5O6,Sn5O6_Va_O1,1.415,-1.7621987818181832,2.4539480703817205,3.7688308015080825,-0.483837310490371,2
100,Sn5O6,Sn5O6_Va_O2,1.415,-1.7621987818181832,2.6357856065939984,3.6674763726434176,-0.4281192288775002,2
101,Sn5O6,Sn5O6_Va_O3,1.415,-1.7621987818181832,2.39053715812208,3.6820594344213857,-0.6296880294563132,2
102,SnO2,SnO2_Va_O1,0.8614000000000002,-2.107481543333334,2.6999999999999997,2.689198165456612,0.4874946412465335,2
103,SrO,SrO_Va_O1,3.1607000000000003,-3.077090665833333,0.9500000000000002,0.908791266440336,3.82069807799404,2
104,Tl2O,Tl2O_Va_O1,0.3592000000000004,-0.8199783955555553,1.6847532472986757,2.450006096135706,-1.3306771732245497,2
